epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.594,3.08505,8.7646,2.04818,0.80663,0.58676,0.67917,0.37805,3.36333,9.70923,2.08101,0.0674476,0.000664336,0.000664336
2,471.469,2.94978,7.00869,1.99574,0.8114,0.61454,0.70744,0.40264,3.21938,8.37026,2.07008,0.0347545,0.00130465,0.00130465
3,666.815,2.82632,6.69483,1.97418,0.82899,0.61601,0.7092,0.4114,3.19883,8.79446,2.05035,0.00203511,0.00191856,0.00191856
4,861.548,2.82225,6.37901,1.95223,0.81928,0.6139,0.70185,0.39834,3.30648,9.91034,2.08286,0.0018812,0.0018812,0.0018812
5,1055.68,2.86611,6.04795,1.98814,0.82809,0.62879,0.72472,0.42388,3.19701,8.6087,2.03213,0.0018416,0.0018416,0.0018416
6,1250.57,2.79074,5.77542,1.946,0.82579,0.6264,0.71461,0.41272,3.22712,8.6188,2.04865,0.001802,0.001802,0.001802
7,1444.83,2.71284,5.63018,1.93423,0.85063,0.65555,0.73579,0.43815,3.09447,8.31153,2.01109,0.0017624,0.0017624,0.0017624
8,1639.45,2.65732,5.20134,1.91529,0.8787,0.66191,0.75235,0.45945,2.96618,7.56209,1.97374,0.0017228,0.0017228,0.0017228
9,1833.89,2.52277,4.6529,1.88418,0.87806,0.67382,0.75551,0.46596,2.98119,7.8622,1.9998,0.0016832,0.0016832,0.0016832
10,2028.34,2.43344,4.67421,1.85227,0.85355,0.67136,0.74792,0.46593,2.93326,7.77651,1.99664,0.0016436,0.0016436,0.0016436
11,2222.2,2.35828,4.41939,1.83829,0.85335,0.68823,0.75325,0.47244,2.8556,7.33481,1.97225,0.001604,0.001604,0.001604
12,2417.08,2.31438,4.28642,1.83142,0.87307,0.69044,0.774,0.49202,2.7978,7.19526,1.93983,0.0015644,0.0015644,0.0015644
13,2611.91,2.29212,4.19658,1.797,0.84816,0.69379,0.76775,0.4898,2.80166,7.14758,1.93974,0.0015248,0.0015248,0.0015248
14,2806.01,2.22072,4.04394,1.81668,0.8997,0.68444,0.77271,0.51488,2.7132,7.87442,1.92824,0.0014852,0.0014852,0.0014852
